,比赛日期,主队,比分,客队
80,2003-10-04 19:30,利物浦,1-2,阿森纳
81,2003-10-19 23:05,埃弗顿,0-0,南安普
82,2003-10-19 21:00,莱切城,1-2,热刺
83,2003-10-19 19:00,伯明翰,0-0,维拉
84,2003-10-18 22:00,阿森纳,2-1,切尔西
85,2003-10-18 22:00,富勒姆,0-0,狼队
86,2003-10-18 22:00,曼城,6-2,博尔顿
87,2003-10-18 22:00,米德尔,0-1,纽卡斯
88,2003-10-18 22:00,朴茨茅,1-0,利物浦
89,2003-10-18 19:00,利兹,0-1,曼联
90,2003-10-27 00:05,热刺,0-0,米德尔
91,2003-10-26 22:00,查尔顿,1-1,阿森纳
92,2003-10-25 22:00,狼队,4-3,莱切城
93,2003-10-25 22:00,南安普,2-0,布莱克本
94,2003-10-25 22:00,纽卡斯,3-0,朴茨茅
95,2003-10-25 22:00,曼联,1-3,富勒姆
96,2003-10-25 22:00,切尔西,1-0,曼城
97,2003-10-25 22:00,维拉,0-0,埃弗顿
98,2003-10-25 19:30,利物浦,3-1,利兹
99,2003-10-25 19:30,博尔顿,0-1,伯明翰
100,2003-11-04 04:00,伯明翰,1-2,查尔顿
101,2003-11-03 00:05,莱切城,2-0,布莱克本
102,2003-11-02 22:00,富勒姆,1-2,利物浦
103,2003-11-01 23:00,热刺,0-1,博尔顿
104,2003-11-01 23:00,南安普,0-2,曼城
105,2003-11-01 23:00,纽卡斯,1-1,维拉
106,2003-11-01 23:00,米德尔,2-0,狼队
107,2003-11-01 23:00,曼联,3-0,朴茨茅
108,2003-11-01 23:00,利兹,1-4,阿森纳
109,2003-11-01 23:00,埃弗顿,0-1,切尔西
110,2003-11-11 04:00,布莱克本,2-1,埃弗顿
111,2003-11-10 00:05,切尔西,5-0,纽卡斯
112,2003-11-09 23:00,曼城,0-3,莱切城
113,2003-11-09 21:45,利物浦,1-2,曼联
114,2003-11-08 23:00,朴茨茅,6-1,利兹
115,2003-11-08 23:00,查尔顿,3-1,富勒姆
116,2003-11-08 23:00,博尔顿,0-0,南安普
117,2003-11-08 23:00,维拉,0-2,米德尔
118,2003-11-08 23:00,阿森纳,2-1,热刺
119,2003-11-08 20:30,狼队,1-1,伯明翰
120,2003-11-25 04:00,富勒姆,2-0,朴茨茅
121,2003-11-24 00:05,热刺,2-1,维拉
122,2003-11-22 23:00,南安普,0-1,切尔西
123,2003-11-22 23:00,纽卡斯,3-0,曼城
124,2003-11-22 23:00,米德尔,0-0,利物浦
125,2003-11-22 23:00,莱切城,1-1,查尔顿
126,2003-11-22 23:00,利兹,0-2,博尔顿
127,2003-11-22 23:00,埃弗顿,2-0,狼队
128,2003-11-22 23:00,伯明翰,0-3,阿森纳
129,2003-11-22 20:30,曼联,2-1,布莱克本
130,2003-12-01 00:05,切尔西,1-0,曼联
131,2003-11-30 23:00,曼城,0-1,米德尔
132,2003-11-30 23:00,利物浦,3-1,伯明翰
133,2003-11-30 22:00,阿森纳,0-0,富勒姆
134,2003-11-29 23:00,朴茨茅,0-2,莱切城
135,2003-11-29 23:00,查尔顿,0-1,利兹
136,2003-11-29 23:00,博尔顿,2-0,埃弗顿
137,2003-11-29 23:00,布莱克本,1-0,热刺
138,2003-11-29 23:00,维拉,1-0,南安普
139,2003-11-29 20:30,狼队,1-1,纽卡斯
140,2003-12-08 00:05,南安普,3-2,查尔顿
141,2003-12-07 22:00,埃弗顿,0-0,曼城
142,2003-12-06 23:00,热刺,5-2,狼队
143,2003-12-06 23:00,米德尔,0-0,朴茨茅
144,2003-12-06 23:00,曼联,4-0,维拉
145,2003-12-06 23:00,莱切城,1-1,阿森纳
146,2003-12-06 23:00,利兹,1-1,切尔西
147,2003-12-06 23:00,富勒姆,2-1,博尔顿
148,2003-12-06 23:00,伯明翰,0-4,布莱克本
149,2003-12-06 20:30,纽卡斯,1-1,利物浦
150,2003-12-15 00:05,利兹,3-2,富勒姆
151,2003-12-14 22:00,阿森纳,1-0,布莱克本
152,2003-12-14 20:00,维拉,3-2,狼队
153,2003-12-13 23:00,朴茨茅,1-2,埃弗顿
154,2003-12-13 23:00,纽卡斯,4-0,热刺
155,2003-12-13 23:00,米德尔,0-0,查尔顿
156,2003-12-13 23:00,利物浦,1-2,南安普
157,2003-12-13 23:00,切尔西,1-2,博尔顿
158,2003-12-13 20:30,曼联,3-1,曼城
159,2003-12-13 20:00,莱切城,0-2,伯明翰
160,2004-03-04 03:45,伯明翰,3-1,米德尔
161,2004-01-22 03:45,狼队,1-1,利物浦
162,2003-12-23 04:00,曼城,1-1,利兹
163,2003-12-22 00:05,热刺,1-2,曼联
164,2003-12-21 20:30,南安普,3-0,朴茨茅
165,2003-12-20 23:00,富勒姆,0-1,切尔西
166,2003-12-20 23:00,埃弗顿,3-2,莱切城
167,2003-12-20 23:00,查尔顿,0-0,纽卡斯
168,2003-12-20 23:00,博尔顿,1-1,阿森纳
169,2003-12-20 23:00,布莱克本,0-2,维拉
170,2003-12-26 23:00,朴茨茅,2-0,热刺
171,2003-12-26 23:00,曼联,3-2,埃弗顿
172,2003-12-26 23:00,利物浦,3-1,博尔顿
173,2003-12-26 23:00,莱切城,1-1,纽卡斯
174,2003-12-26 23:00,利兹,0-0,维拉
175,2003-12-26 23:00,布莱克本,2-2,米德尔
176,2003-12-26 23:00,伯明翰,2-1,曼城
177,2003-12-26 20:30,查尔顿,4-2,切尔西
178,2003-12-26 20:00,富勒姆,2-0,南安普
179,2003-12-26 20:00,阿森纳,3-0,狼队
180,2003-12-30 04:00,南安普,0-1,阿森纳
181,2003-12-29 00:05,米德尔,0-1,曼联
182,2003-12-28 23:00,狼队,3-1,利兹
183,2003-12-28 23:00,热刺,0-1,查尔顿
184,2003-12-28 23:00,曼城,2-2,利物浦
185,2003-12-28 23:00,埃弗顿,1-0,伯明翰
186,2003-12-28 23:00,博尔顿,2-2,莱切城
187,2003-12-28 23:00,维拉,3-0,富勒姆
188,2003-12-28 22:00,纽卡斯,0-1,布莱克本
189,2003-12-28 20:30,切尔西,3-0,朴茨茅
190,2004-01-08 04:00,埃弗顿,1-1,阿森纳
191,2004-01-08 04:00,博尔顿,1-2,曼联
192,2004-01-08 04:00,切尔西,0-1,利物浦
193,2004-01-08 03:45,狼队,2-2,布莱克本
194,2004-01-08 03:45,热刺,4-1,伯明翰
195,2004-01-08 03:45,南安普,0-0,莱切城
196,2004-01-08 03:45,纽卡斯,1-0,利兹
197,2004-01-08 03:45,米德尔,2-1,富勒姆
198,2004-01-08 03:45,曼城,1-1,查尔顿
199,2004-01-07 04:00,维拉,2-1,朴茨茅
200,2004-01-12 00:05,曼联,0-0,纽卡斯
201,2004-01-11 22:00,莱切城,0-4,切尔西
202,2004-01-10 23:00,朴茨茅,4-2,曼城
203,2004-01-10 23:00,利物浦,1-0,维拉
204,2004-01-10 23:00,利兹,0-1,热刺
205,2004-01-10 23:00,富勒姆,2-1,埃弗顿
206,2004-01-10 23:00,查尔顿,2-0,狼队
207,2004-01-10 23:00,布莱克本,3-4,博尔顿
208,2004-01-10 23:00,阿森纳,4-1,米德尔
209,2004-01-10 23:00,伯明翰,2-1,南安普
210,2004-01-20 04:00,纽卡斯,3-1,富勒姆
211,2004-01-19 00:05,切尔西,0-0,伯明翰
212,2004-01-18 22:00,维拉,0-2,阿森纳
213,2004-01-17 23:00,热刺,2-1,利物浦
214,2004-01-17 23:00,南安普,2-1,利兹
215,2004-01-17 23:00,米德尔,3-3,莱切城
216,2004-01-17 23:00,曼城,1-1,布莱克本
217,2004-01-17 23:00,埃弗顿,0-1,查尔顿
218,2004-01-17 23:00,博尔顿,1-0,朴茨茅
219,2004-01-17 20:30,狼队,1-0,曼联
220,2004-02-02 00:05,阿森纳,2-1,曼城
221,2004-02-01 22:00,布莱克本,2-3,切尔西
222,2004-01-31 23:00,朴茨茅,0-0,狼队
223,2004-01-31 23:00,利物浦,0-0,埃弗顿
224,2004-01-31 23:00,莱切城,0-5,维拉
225,2004-01-31 23:00,利兹,0-3,米德尔
226,2004-01-31 23:00,富勒姆,2-1,热刺
227,2004-01-31 23:00,查尔顿,1-2,博尔顿
228,2004-01-31 23:00,伯明翰,1-1,纽卡斯
229,2004-01-31 20:30,曼联,3-2,南安普
230,2004-02-09 00:05,切尔西,1-0,查尔顿
231,2004-02-08 22:00,曼城,0-0,伯明翰
232,2004-02-07 23:00,维拉,2-0,利兹
233,2004-02-07 23:00,狼队,1-3,阿森纳
234,2004-02-07 23:00,热刺,4-3,朴茨茅
235,2004-02-07 23:00,南安普,0-0,富勒姆
236,2004-02-07 23:00,纽卡斯,3-1,莱切城
237,2004-02-07 23:00,米德尔,0-1,布莱克本
238,2004-02-07 23:00,埃弗顿,3-4,曼联
239,2004-02-07 23:00,博尔顿,2-2,利物浦
240,2004-02-12 04:00,曼联,2-3,米德尔
241,2004-02-12 04:00,利物浦,2-1,曼城
242,2004-02-12 04:00,查尔顿,2-4,热刺
243,2004-02-12 04:00,朴茨茅,0-2,切尔西
244,2004-02-12 04:00,布莱克本,1-1,纽卡斯
245,2004-02-12 03:45,富勒姆,1-2,维拉
246,2004-02-12 03:45,伯明翰,3-0,埃弗顿
247,2004-02-11 04:00,莱切城,1-1,博尔顿
248,2004-02-11 03:45,利兹,4-1,狼队
249,2004-02-11 03:45,阿森纳,2-0,南安普
250,2004-03-18 04:00,利物浦,3-0,朴茨茅
251,2004-02-23 00:05,热刺,4-4,莱切城
252,2004-02-22 20:00,维拉,2-2,伯明翰
253,2004-02-21 23:00,南安普,3-3,埃弗顿
254,2004-02-21 23:00,纽卡斯,2-1,米德尔
255,2004-02-21 23:00,查尔顿,3-2,布莱克本
256,2004-02-21 23:00,博尔顿,1-3,曼城
257,2004-02-21 23:00,狼队,2-1,富勒姆
258,2004-02-21 20:30,切尔西,1-2,阿森纳
259,2004-02-21 20:30,曼联,1-1,利兹
260,2004-03-10 04:00,米德尔,1-0,热刺
261,2004-03-06 23:00,伯明翰,2-0,博尔顿
262,2004-02-29 23:00,朴茨茅,1-1,纽卡斯
263,2004-02-29 20:00,利兹,2-2,利物浦
264,2004-02-28 23:00,曼城,0-1,切尔西
265,2004-02-28 23:00,莱切城,0-0,狼队
266,2004-02-28 23:00,埃弗顿,2-0,维拉
267,2004-02-28 23:00,布莱克本,1-1,南安普
268,2004-02-28 23:00,阿森纳,2-1,查尔顿
269,2004-02-28 23:00,富勒姆,1-1,曼联
270,2004-03-15 00:05,南安普,2-0,利物浦
271,2004-03-14 23:00,热刺,1-0,纽卡斯
272,2004-03-14 22:00,曼城,4-1,曼联
273,2004-03-14 20:30,狼队,0-4,维拉
274,2004-03-13 23:00,埃弗顿,1-0,朴茨茅
275,2004-03-13 23:00,查尔顿,1-0,米德尔
276,2004-03-13 23:00,布莱克本,0-2,阿森纳
277,2004-03-13 23:00,伯明翰,0-1,莱切城
278,2004-03-13 23:00,富勒姆,2-0,利兹
279,2004-03-13 20:30,博尔顿,0-2,切尔西
280,2004-03-23 04:00,利兹,2-1,曼城
281,2004-03-22 00:05,朴茨茅,1-0,南安普
282,2004-03-21 01:30,纽卡斯,3-1,查尔顿
283,2004-03-20 23:00,莱切城,1-1,埃弗顿
284,2004-03-20 23:00,切尔西,2-1,富勒姆
285,2004-03-20 23:00,维拉,0-2,布莱克本
286,2004-03-20 23:00,阿森纳,2-1,博尔顿
287,2004-03-20 23:00,曼联,3-0,热刺
288,2004-03-20 23:00,利物浦,1-0,狼队
289,2004-03-20 23:00,米德尔,5-3,伯明翰
290,2004-03-28 23:05,阿森纳,1-1,曼联
291,2004-03-28 22:00,莱切城,0-0,利物浦
292,2004-03-28 21:00,博尔顿,1-0,纽卡斯
293,2004-03-27 23:00,切尔西,5-2,狼队
294,2004-03-27 23:00,查尔顿,1-2,维拉
295,2004-03-27 23:00,布莱克本,1-2,朴茨茅
296,2004-03-27 23:00,埃弗顿,1-1,米德尔
297,2004-03-27 23:00,南安普,1-0,热刺
298,2004-03-27 23:00,曼城,0-0,富勒姆
299,2004-03-27 20:30,伯明翰,4-1,利兹
300,2004-05-05 03:00,朴茨茅,1-1,阿森纳
301,2004-04-21 03:00,曼联,2-0,查尔顿
302,2004-04-06 03:00,利兹,3-2,莱切城
303,2004-04-04 22:00,利物浦,4-0,布莱克本
304,2004-04-04 21:00,维拉,1-1,曼城
305,2004-04-03 22:00,狼队,1-4,南安普
306,2004-04-03 22:00,热刺,0-1,切尔西
307,2004-04-03 22:00,纽卡斯,4-2,埃弗顿
308,2004-04-03 22:00,富勒姆,0-0,伯明翰
309,2004-04-03 22:00,米德尔,2-0,博尔顿
310,2004-05-13 02:45,南安普,3-3,纽卡斯
311,2004-04-10 22:00,切尔西,0-0,米德尔
312,2004-04-10 22:00,查尔顿,1-1,朴茨茅
313,2004-04-10 22:00,博尔顿,2-2,维拉
314,2004-04-10 22:00,布莱克本,1-2,利兹
315,2004-04-10 22:00,伯明翰,1-2,曼联
316,2004-04-10 22:00,曼城,3-3,狼队
317,2004-04-10 22:00,莱切城,0-2,富勒姆
318,2004-04-10 03:00,埃弗顿,3-1,热刺
319,2004-04-09 19:30,阿森纳,4-2,利物浦
320,2004-04-14 03:00,曼联,1-0,莱切城
321,2004-04-14 02:45,利兹,1-1,埃弗顿
322,2004-04-13 03:00,富勒姆,3-4,布莱克本
323,2004-04-12 22:00,米德尔,3-1,南安普
324,2004-04-12 22:00,狼队,1-2,博尔顿
325,2004-04-12 22:00,热刺,1-1,曼城
326,2004-04-12 22:00,朴茨茅,3-1,伯明翰
327,2004-04-12 22:00,利物浦,0-1,查尔顿
328,2004-04-12 22:00,维拉,3-2,切尔西
329,2004-04-11 23:05,纽卡斯,0-0,阿森纳
330,2004-04-18 21:00,维拉,0-0,纽卡斯
331,2004-04-17 22:00,曼城,1-3,南安普
332,2004-04-17 22:00,布莱克本,1-0,莱切城
333,2004-04-17 22:00,狼队,2-0,米德尔
334,2004-04-17 22:00,利物浦,0-0,富勒姆
335,2004-04-17 22:00,切尔西,0-0,埃弗顿
336,2004-04-17 22:00,查尔顿,1-1,伯明翰
337,2004-04-17 22:00,博尔顿,2-0,热刺
338,2004-04-17 19:30,朴茨茅,1-0,曼联
339,2004-04-17 03:00,阿森纳,5-0,利兹
340,2004-04-25 23:05,热刺,2-2,阿森纳
341,2004-04-25 21:00,纽卡斯,2-1,切尔西
342,2004-04-25 19:00,伯明翰,2-2,狼队
343,2004-04-25 18:30,利兹,1-2,朴茨茅
344,2004-04-24 22:00,莱切城,1-1,曼城
345,2004-04-24 22:00,埃弗顿,0-1,布莱克本
346,2004-04-24 22:00,富勒姆,2-0,查尔顿
347,2004-04-24 22:00,曼联,0-1,利物浦
348,2004-04-24 22:00,南安普,1-2,博尔顿
349,2004-04-24 22:00,米德尔,1-2,维拉
350,2004-05-02 23:05,利物浦,2-0,米德尔
351,2004-05-02 22:00,维拉,1-0,热刺
352,2004-05-02 21:00,博尔顿,4-1,利兹
353,2004-05-01 22:00,切尔西,4-0,南安普
354,2004-05-01 22:00,查尔顿,2-2,莱切城
355,2004-05-01 22:00,布莱克本,1-0,曼联
356,2004-05-01 22:00,狼队,2-1,埃弗顿
357,2004-05-01 22:00,朴茨茅,1-1,富勒姆
358,2004-05-01 22:00,曼城,1-0,纽卡斯
359,2004-05-01 19:30,阿森纳,0-0,伯明翰
360,2004-05-09 23:05,富勒姆,0-1,阿森纳
361,2004-05-09 22:00,纽卡斯,1-1,狼队
362,2004-05-09 00:35,伯明翰,0-3,利物浦
363,2004-05-08 22:00,热刺,1-0,布莱克本
364,2004-05-08 22:00,南安普,1-1,维拉
365,2004-05-08 22:00,米德尔,2-1,曼城
366,2004-05-08 22:00,莱切城,3-1,朴茨茅
367,2004-05-08 22:00,利兹,3-3,查尔顿
368,2004-05-08 22:00,埃弗顿,1-2,博尔顿
369,2004-05-08 19:30,曼联,1-1,切尔西
370,2004-05-15 22:00,维拉,0-2,曼联
371,2004-05-15 22:00,狼队,0-2,热刺
372,2004-05-15 22:00,朴茨茅,5-1,米德尔
373,2004-05-15 22:00,曼城,5-1,埃弗顿
374,2004-05-15 22:00,利物浦,1-1,纽卡斯
375,2004-05-15 22:00,切尔西,1-0,利兹
376,2004-05-15 22:00,查尔顿,2-1,南安普
377,2004-05-15 22:00,博尔顿,0-2,富勒姆
378,2004-05-15 22:00,布莱克本,1-1,伯明翰
379,2004-05-15 22:00,阿森纳,2-1,莱切城
380,2004-08-15 23:05,切尔西,1-0,曼联
381,2004-08-15 21:00,埃弗顿,1-4,阿森纳
382,2004-08-15 00:15,米德尔,2-2,纽卡斯
383,2004-08-14 22:05,曼城,1-1,富勒姆
384,2004-08-14 22:00,朴茨茅,1-1,伯明翰
385,2004-08-14 22:00,诺维奇,1-1,水晶宫
386,2004-08-14 22:00,博尔顿,4-1,查尔顿
387,2004-08-14 22:00,布莱克本,1-1,西布罗姆
388,2004-08-14 22:00,维拉,2-0,南安普
389,2004-08-14 19:45,热刺,1-1,利物浦
390,2004-08-22 23:05,阿森纳,5-3,米德尔
391,2004-08-22 20:00,西布罗姆,1-1,维拉
392,2004-08-22 00:15,曼联,2-1,诺维奇
393,2004-08-21 22:00,纽卡斯,0-1,热刺
394,2004-08-21 22:00,利物浦,2-1,曼城
395,2004-08-21 22:00,富勒姆,2-0,博尔顿
396,2004-08-21 22:00,水晶宫,1-3,埃弗顿
397,2004-08-21 22:00,查尔顿,2-1,朴茨茅
398,2004-08-21 22:00,伯明翰,0-1,切尔西
399,2004-08-21 19:45,南安普,3-2,布莱克本
400,2004-12-15 04:00,利物浦,1-1,朴茨茅
401,2004-08-30 19:00,曼联,0-0,埃弗顿
402,2004-08-26 03:00,纽卡斯,2-2,诺维奇
403,2004-08-26 03:00,查尔顿,3-0,维拉
404,2004-08-26 02:45,西布罗姆,1-1,热刺
405,2004-08-26 02:45,南安普,1-2,博尔顿
406,2004-08-26 02:45,富勒姆,0-2,米德尔
407,2004-08-26 02:45,阿森纳,3-0,布莱克本
408,2004-08-25 03:00,水晶宫,0-2,切尔西
409,2004-08-25 02:50,伯明翰,1-0,曼城
410,2004-08-31 03:00,朴茨茅,4-3,富勒姆
411,2004-08-29 23:08,博尔顿,1-0,利物浦
412,2004-08-29 00:15,诺维奇,1-4,阿森纳
413,2004-08-28 22:00,热刺,1-0,伯明翰
414,2004-08-28 22:00,米德尔,2-1,水晶宫
415,2004-08-28 22:00,曼城,4-0,查尔顿
416,2004-08-28 22:00,埃弗顿,2-1,西布罗姆
417,2004-08-28 22:00,切尔西,2-1,南安普
418,2004-08-28 22:00,维拉,4-2,纽卡斯
419,2004-08-28 19:45,布莱克本,1-1,曼联
420,2004-09-14 03:00,查尔顿,0-0,南安普
421,2004-09-12 23:05,热刺,0-0,诺维奇
422,2004-09-12 00:15,朴茨茅,3-1,水晶宫
423,2004-09-11 22:00,博尔顿,2-2,曼联
424,2004-09-11 22:00,纽卡斯,3-0,布莱克本
425,2004-09-11 22:00,米德尔,2-1,伯明翰
426,2004-09-11 22:00,曼城,0-1,埃弗顿
427,2004-09-11 22:00,利物浦,3-0,西布罗姆
428,2004-09-11 22:00,富勒姆,0-3,阿森纳
429,2004-09-11 19:45,维拉,0-0,切尔西
430,2004-09-21 03:00,曼联,2-1,利物浦
431,2004-09-19 23:05,切尔西,0-0,热刺
432,2004-09-19 22:00,埃弗顿,1-0,米德尔
433,2004-09-19 21:00,南安普,1-2,纽卡斯
434,2004-09-18 22:00,西布罗姆,1-1,富勒姆
435,2004-09-18 22:00,诺维奇,0-0,维拉
436,2004-09-18 22:00,水晶宫,1-2,曼城
437,2004-09-18 22:00,布莱克本,1-0,朴茨茅
438,2004-09-18 22:00,伯明翰,1-1,查尔顿
439,2004-09-18 19:45,阿森纳,2-2,博尔顿
440,2004-09-28 03:00,查尔顿,1-0,布莱克本
441,2004-09-26 23:05,朴茨茅,0-1,埃弗顿
442,2004-09-26 00:15,博尔顿,1-1,伯明翰
443,2004-09-25 22:00,热刺,0-1,曼联
444,2004-09-25 22:00,纽卡斯,3-1,西布罗姆
445,2004-09-25 22:00,曼城,0-1,阿森纳
446,2004-09-25 22:00,利物浦,3-0,诺维奇
447,2004-09-25 22:00,富勒姆,1-0,南安普
448,2004-09-25 22:00,维拉,1-1,水晶宫
449,2004-09-25 19:48,米德尔,0-1,切尔西
450,2004-10-05 03:00,水晶宫,2-0,富勒姆
451,2004-10-03 23:05,切尔西,1-0,利物浦
452,2004-10-03 22:00,曼联,1-1,米德尔
453,2004-10-03 22:00,伯明翰,2-2,纽卡斯
454,2004-10-03 00:15,西布罗姆,2-1,博尔顿
455,2004-10-02 22:00,诺维奇,2-2,朴茨茅
456,2004-10-02 22:00,埃弗顿,0-1,热刺
457,2004-10-02 22:00,布莱克本,2-2,维拉
458,2004-10-02 22:00,阿森纳,4-0,查尔顿
459,2004-10-02 19:45,南安普,0-0,曼城
460,2004-10-19 03:00,朴茨茅,1-0,热刺
461,2004-10-17 23:05,查尔顿,1-1,纽卡斯
462,2004-10-17 00:15,曼城,1-0,切尔西
463,2004-10-16 22:00,西布罗姆,0-0,诺维奇
464,2004-10-16 22:00,富勒姆,2-4,利物浦
465,2004-10-16 22:00,埃弗顿,1-0,南安普
466,2004-10-16 22:00,博尔顿,1-0,水晶宫
467,2004-10-16 22:00,布莱克本,0-4,米德尔
468,2004-10-16 22:00,阿森纳,3-1,维拉
469,2004-10-16 19:45,伯明翰,0-0,曼联
470,2004-10-24 23:05,曼联,2-0,阿森纳
471,2004-10-24 22:00,纽卡斯,4-3,曼城
472,2004-10-24 22:00,米德尔,1-1,朴茨茅
473,2004-10-24 21:00,南安普,0-0,伯明翰
474,2004-10-24 00:15,利物浦,2-0,查尔顿
475,2004-10-23 22:00,热刺,1-2,博尔顿
476,2004-10-23 22:00,水晶宫,3-0,西布罗姆
477,2004-10-23 22:00,切尔西,4-0,布莱克本
478,2004-10-23 22:00,维拉,2-0,富勒姆
479,2004-10-23 19:45,诺维奇,2-3,埃弗顿
480,2004-11-02 04:00,曼城,1-1,诺维奇
481,2004-11-01 00:05,博尔顿,2-1,纽卡斯
482,2004-10-31 00:15,布莱克本,2-2,利物浦
483,2004-10-30 22:00,西布罗姆,1-4,切尔西
484,2004-10-30 22:00,朴茨茅,2-0,曼联
485,2004-10-30 22:00,富勒姆,2-0,热刺
486,2004-10-30 22:00,埃弗顿,1-1,维拉
487,2004-10-30 22:00,查尔顿,1-2,米德尔
488,2004-10-30 22:00,阿森纳,2-2,南安普
489,2004-10-30 19:45,伯明翰,0-1,水晶宫
490,2004-11-08 00:05,曼联,0-0,曼城
491,2004-11-07 23:15,纽卡斯,1-4,富勒姆
492,2004-11-07 22:00,米德尔,1-1,博尔顿
493,2004-11-07 01:15,水晶宫,1-1,阿森纳
494,2004-11-06 23:00,热刺,2-3,查尔顿
495,2004-11-06 23:00,南安普,2-2,西布罗姆
496,2004-11-06 23:00,诺维奇,1-1,布莱克本
497,2004-11-06 23:00,利物浦,0-1,伯明翰
498,2004-11-06 23:00,切尔西,1-0,埃弗顿
499,2004-11-06 20:45,维拉,3-0,朴茨茅
500,2004-11-15 00:05,纽卡斯,1-3,曼联
501,2004-11-14 22:00,西布罗姆,1-2,米德尔
502,2004-11-14 01:15,伯明翰,0-1,埃弗顿
503,2004-11-13 23:00,曼城,1-1,布莱克本
504,2004-11-13 23:00,利物浦,3-2,水晶宫
